payment_date,settlement_date,customer_name,invoice_ref,payment_id,amount,currency,status
2025-03-01,2025-03-02,Acme Retail,INV-9001,PSP-10001,12000.00,INR,settled
2025-03-01,2025-03-02,Acme Retail,INV-9002,PSP-10002,8000.00,INR,settled
2025-03-02,2025-03-03,Beta Foods,INV-9010,PSP-10003,15000.00,INR,settled
2025-03-03,2025-03-04,Delta Labs,INV-9020,PSP-10004,4999.00,INR,settled
2025-03-03,2025-03-04,Delta Labs,INV-9021,PSP-10005,5001.00,INR,settled
2025-03-04,2025-03-05,Euro Trade GmbH,INV-9030,PSP-10006,3200.00,EUR,settled
2025-03-04,2025-03-05,Gamma Stores,INV-9040,PSP-10007,6700.00,INR,failed
2025-03-05,2025-03-05,Zenova LLC,INV-9050,PSP-10008,20000.00,INR,chargeback
2025-03-06,2025-03-07,Beta Foods,INV-9011,PSP-10009,7500.00,INR,settled
2025-03-07,2025-03-08,Omega Care,INV-9060,PSP-10010,11111.11,INR,settled
2025-03-07,2025-03-08,Omega Care,INV-9061,PSP-10011,22222.22,INR,settled
2025-03-08,2025-03-09,Acme Retail - West,INV-9003,PSP-10012,4000.00,INR,pending
